,Year,USstate,Cost of Living Index
0,2015,HI,104.23
1,2015,NY,100.0
2,2015,AK,99.75
3,2015,CA,97.0
4,2015,CT,96.22
5,2015,DC,96.02
6,2015,WA,90.71
7,2015,OH,90.35
8,2015,TX,89.86
9,2015,TN,89.64
10,2015,MA,89.37
11,2015,VA,89.19
12,2015,PA,88.57
13,2015,FL,86.78
14,2015,WI,86.14
15,2015,NC,84.68
16,2015,NJ,82.77
17,2015,AL,81.3
18,2015,MN,80.56
19,2015,MO,80.35
20,2015,MD,79.99
21,2015,IL,79.65
22,2015,NV,79.49
23,2015,CO,78.59
24,2015,MI,77.84
25,2015,GA,75.7
26,2015,AZ,75.65
27,2015,LA,73.58
28,2015,KY,73.41
29,2015,IN,71.78
30,2015,OR,71.14
31,2015,NM,71.13
32,2015,OK,69.74
33,2015,UT,69.71
34,2015,ID,68.88
35,2015,NE,63.37
