Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,38.9,4.1
201202,41.8,5.1
201203,55.2,10.5
201204,55.6,1.6
201205,67.3,4.1
201206,70.2,-0.7
201207,78.7,4.0
201208,74.0,0.9
201209,66.9,-0.2
201210,56.4,0.2
201211,42.7,-2.8
201212,42.9,6.1
201301,38.5,3.7
201302,36.8,0.1
201303,40.1,-4.6
201304,56.0,2.0
201305,62.5,-0.7
201306,72.2,1.3
201307,75.6,0.9
201308,71.8,-1.3
201309,66.3,-0.8
201310,57.6,1.4
201311,43.7,-1.8
201312,40.3,3.5
201401,29.4,-5.4
201402,37.0,0.3
201403,40.7,-4.0
201404,55.0,1.0
201405,65.2,2.0
201406,72.5,1.6
201407,73.4,-1.3
201408,71.3,-1.8
201409,68.1,1.0
201410,57.8,1.6
201411,42.1,-3.4
201412,40.8,4.0
201501,33.8,-1.0
201502,28.9,-7.8
201503,44.2,-0.5
201504,55.9,1.9
201505,67.1,3.9
201506,73.7,2.8
201507,75.3,0.6
201508,73.2,0.1
201509,69.3,2.2
201510,56.3,0.1
201511,51.1,5.6
201512,49.6,12.8
201601,33.1,-1.7
201602,38.4,1.7
201603,51.8,7.1
201604,55.1,1.1
201605,61.9,-1.3
201606,71.8,0.9
201607,77.3,2.6
201608,77.0,3.9
201609,71.8,4.7
201610,59.8,3.6
201611,48.3,2.8
201612,39.1,2.3
201701,40.1,5.3
201702,46.0,9.3
201703,45.9,1.2
201704,60.6,6.6
201705,63.4,0.2
201706,71.2,0.3
201707,76.8,2.1
201708,72.8,-0.3
201709,67.4,0.3
201710,60.2,4.0
201711,46.1,0.6
201712,37.2,0.4
201801,31.8,-3.0
201802,45.2,8.5
201803,41.2,-3.5
201804,52.2,-1.8
201805,69.7,6.5
201806,73.1,2.2
201807,75.1,0.4
201808,75.2,2.1
201809,72.8,5.7
201810,59.0,2.8
201811,43.8,-1.7
201812,39.7,2.9
201901,36.3,1.5
201902,41.8,5.1
201903,43.9,-0.8
201904,58.1,4.1
201905,68.9,5.7
201906,71.2,0.3
201907,77.1,2.4
201908,74.7,1.6
201909,72.5,5.4
201910,60.6,4.4
201911,43.1,-2.4
201912,41.5,4.7
202001,40.6,5.8
202002,42.4,5.7
202003,51.7,7.0
202004,53.3,-0.7
202005,60.5,-2.7
202006,71.3,0.4
202007,78.7,4.0
202008,75.5,2.4
202009,66.4,-0.7
202010,59.0,2.8
202011,51.3,5.8
202012,38.4,1.6
202101,36.6,1.8
202102,36.7,0.0
202103,48.6,3.9
202104,55.3,1.3
202105,62.3,-0.9
202106,72.0,1.1
202107,75.9,1.2
202108,76.4,3.3
202109,68.5,1.4
202110,62.4,6.2
202111,44.6,-0.9
202112,45.9,9.1
